,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,IRI,,,,
1,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,IRI,,,,
2,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,not($1),contains('http'),,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,IRI,,,,
3,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,not($1),contains('http'),,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,IRI,,,,
4,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a|b,Audience term (R),,,not($0|$1),,2,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,IRI,mint concept with concept properties,"[expression] rdae:P20322 [skos:ConceptIRI]
[skos:ConceptIRI] skos:prefLabel <$a or $b if no $a>
skos:Concept skos:notation <$b>^^datatypeIRI
skos:Concept skos:inScheme <$2>

mint a concept for each $a value present in the field, or in the case that it is all $b, for each $b value",,
5,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a|b,Audience term (R),,,not($0|$1),,2,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,IRI,mint concept with concept properties,"[manifestation] rdam:P30305 [skos:ConceptIRI]
[skos:ConceptIRI] skos:prefLabel <$a or $b if no $a>
skos:Concept skos:notation <$b>^^datatypeIRI
skos:Concept skos:inScheme <$2>

mint a concept for each $a value present in the field, or in the case that it is all $b, for each $b value",,
6,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a,Audience term (R),,,not($0|$1),,not($2),,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,unstructured,,"[expression] rdae:P20322 ""$a value""",,
7,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a,Audience term (R),,,not($0|$1),,not($2),,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,unstructured,,"[manifestation] rdam:P30305 ""$a value""",,
8,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,$a|$b|$1|$0,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"[manifestation] http://rdaregistry.info/Elements/m/datatype/P30137 ""Intended audience ""[$a value (if no $a, use $b value. If no $a or $b, use $1 value. If no $a or $b or $1, use $0 value)]"" applies to: [$3 value].""",,
9,reviewed,385,AUDIENCE CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
