,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,https://vdo.ninja/?room=SWIB24talks&broadcast&l&sl&ssid&tips&ssq&s,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
97,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,Location in source not given,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
98,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,Location in source not given,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
99,delete,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,Location in source given,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,combined in other rows
100,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,Location in source given,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
101,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,Location in source given,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
102,delete,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,0,Coverage unknown,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,combined in other rows
103,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,0,Coverage unknown,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
104,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,0,Coverage unknown,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
105,delete,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,1,Coverage complete,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,combined in other rows
106,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,1,Coverage complete,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
107,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,1,Coverage complete,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
108,delete,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,2,Coverage is selective,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,combined in other rows
109,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,2,Coverage is selective,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
110,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,2,Coverage is selective,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
111,delete,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,Location in source not given,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,combined in other rows
112,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,Location in source not given,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
113,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,Location in source not given,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
114,delete,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,Location in source given,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,combined in other rows
115,first pass,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,Location in source given,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
116,not mapped,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,Location in source given,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number ,,,
