,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,"$a, $b, $c, $d, $f, $j, $q, $u, $t, $f, $g, $h, $k, $l, $m, $n, $o, $p, $r, $s, $v, $x, $y, $z",,,,,,,,http://rdaregistry.info/Elements/w/P10256,has subject,IRI,,"<work> rdawo:P10256 <tConcept(field)> . // has subject; complete heading
<tConcept(field)> skos:prefLabel ""stripEndStop(concatenateOA($a, $b, $c, $d, $f, $j, $q, $u, $t, $f, $g, $h, $k, $l, $m, $n, $o, $p, $r, $s, $v, $x, $y, $z))""
<tConcept(field)> skos:inScheme <tScheme(field)> . // has scheme of nomen
Scheme is in indicator 2 or $2 if the second indicator is 7",,
1,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,"$a, $b, $c, $d, $j, $q $u",,,,,,,,http://rdaregistry.info/Elements/w/P10261,has subject person, ,,"<work> rdawo:P10261 <personS> . // has subject person
<personS> rdaao:P50411 <nomenP> . // has authorized access point for person; if ind2=4 (no source), then use datatype property and nomen string
<nomenP> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $j, $q $u))” . // has nomen string; OA = in order of appearance
<nomenP> rdano:P80069 <tScheme(600)> . // has scheme of nomen; no statement if ind2=4
",,
2,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$d,,,,,,,, ,has timespan associated with person, ,, ,,
3,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$d,,,,"Before a hyphen; if no hypen, then after ""b."" or ""born""", ,,, ,Has date of birth, ,, ,,
4,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$d,,,,"After a hyphen; if no hyphen, then after ""d.""  or ""died""", ,,, ,Has date of death, ,, ,,
5,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$d,,,,"If no hyphen, after ""active"" or ""fl."" or before ""century"" or ""cent.""", ,,, ,Has period of activity of person, ,, ,,
6,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$q,,,,,,,, ,has fuller form of name, ,, ,,
7,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$u ,,,,,,,, ,Has person member of corporate body, ,, ,,
8,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,,Thesaurus,*,,,,"$a, $b",,,,,,,, ,has name of person, ,, ,,
9,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,"$a, $b, $c, $d, $f, $j, $q, $u, $t, $f, $h, $k, $l, $m, $n, $o, $p, $r, $s",,,,,,,,http://rdaregistry.info/Elements/w/P10257,has subject work,,,"<work> rdawo:P10261 <workS> . // has subject work
<workS> rdawo:P50311 <nomenW> . // has authorized access point for work; if ind2=4 (no source), then use datatype property and nomen string
<nomenW> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $f, $h, $j, $k, $l, $m, $n, $o, $p, $q, $r, $s, $t, $u))” . // has nomen string; OA = in order of appearance
<nomenW> rdano:P80069 <tScheme(field)> . // has scheme of nomen; no statement if ind2=4
",,
10,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$f,,,,,,,,,has date of expression,,,<workS> rdawd:P10219 “stripEndStop($f)” . // has date of work,,
11,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$l,,,,,,,,,has language of representative expression,,,,,
12,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$m,,,,,,,,,"has medium of performance of musical content of representative expression
",,,<workS> rdawd:P10220 “stripEndStop($m)” . // has medium of performance of musical content of representative expression,,
13,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$r,,,,,,,,,"has key of representative expression
",,,<workS> rdawd:P10221 ”stripEndStop($r)”  . // has key of representative expression,,
14,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$s,,,,,,,,,has designation of version,,,,,
15,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$t,,,,,,,,,has title of work,,,,,
16,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,"$t, $k",,,,,,,,,has title of work,,,,,
17,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,"$t, $n, $p",,,,,,,,,has title of work,,,<workS> rdawd:P10088 “stripEndPunctuation($t + $n + $p)” . // has title of work,,
18,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$n,,,,IF 'op.' or 'opp.',,,,,opus number,,,,,
19,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$n,,,,If '[A-Z]',,,,,thematic index number,,,,,
20,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$n,,,,,,,,,serial number of musical work,,,,,
21,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$n,,,,IF '[1-2][0-9][0-9][0-9]',,,,,date of work,,,,,
22,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,"$x, $y, $z",,,,,,,,,"has subject
",,,"<workS> rdawo:P10256 <tConcept(field)> . // has subject
<tConcept(field)> skos:prefLabel “stripEndStop($x, $y, $z)” . 
<tConcept(field)> skos:inScheme <tScheme(field)> 
",,
23,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$x,,,,,,,,,Identifier for work,,,,,
24,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,$v,,,,,,,,,numbering of part,,,,,
25,Reviewed,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,
28,first pass,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,"a,b,c,d,f,g,k,l,n,p,q,t,u",,,,,,,,http://rdaregistry.info/Elements/w/P10100,is description of work,STRUCTURED,,,,
29,delete,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,u,Affiliation (NR),,,,,,,http://rdaregistry.info/Elements/w/P10100,is description of work,,,,,
30,First pass,600.0,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Thesaurus,*,,,,"a,b,c,d,f,g,k,l,n,p,q,t,u",,,,,,,,http://rdaregistry.info/Elements/w/P10140,is analysis of work,STRUCTURED,,,,
