,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,delete,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,*,,Undefined,*,,,,a,Representative fraction of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20213,has additional scale information,,,,,
1,delete,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,*,,Undefined,*,,,,"a, b","Representative fraction of scale note (NR), Remainder of scale note (NR)",,,,,,,http://rdaregistry.info/Elements/e/P20227,has scale of still image or three-dimensional form,unstructured description,,"""Representative fraction of scale note: "" + [$a value]. ""Remainder of scale note: "" + [$b value]",,"rdae:P20227 is soft-deprecated, rdae:P20228 is recommended instead
-- CP 2024-06-28"
2,reviewed,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,*,,Undefined,*,,,,a,Representative fraction of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20228,has scale,unstructured description,,[expIRI] rdaed:P20228 [value of $a],,
3,reviewed,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,*,,Undefined,*,,,,b,Remainder of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20213,has additional scale information,unstructured description,,[expIRI] rdaed:P20213 [value of $b],,
4,delete,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,*,,Undefined,*,,,,b,Remainder of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20227,has scale of still image or three-dimensional form,,,,,
5,delete,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,*,,Undefined,*,,,,b,Remainder of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20228,has scale,,,,,
6,not mapped,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
7,not mapped,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
8,not mapped,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
9,not mapped,507,SCALE NOTE FOR VISUAL MATERIALS (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
