,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
281,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10065,has creator agent of work,,,,,
282,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10088,has title of work,,,,,
283,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10223,has preferred title of work,,,,,
284,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10311,has related agent of work,,,,,
285,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10314,has related corporate body of work,,,,,
286,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10315,has related collective agent of work,,,,,
287,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10393,has aggregator agent,,,,,
288,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10483,has author collective agent,,,,,
289,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10484,has creator collective agent of work,,,,,
290,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10495,has aggregator collective agent,,,,,
291,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/e/P20312,has title of expression,,,,,
292,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$j,addressee|addressee corporate body,,,,,http://rdaregistry.info/Elements/w/P10507,has addressee corporate body,IRI,,,,
293,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$4,rcp|http://id.loc.gov/vocabulary/relators/rcp|http://rdaregistry.info/Elements/w/P10507,,,,,http://rdaregistry.info/Elements/w/P10507,has addressee corporate body,IRI,,,,
294,first pass,111.0,112,113,114,115,116,117,118,119.0,120.0,1,Real World Object URI (R),,,$j,aggregator|aggregator corporate body,,,,,http://rdaregistry.info/Elements/w/P10542,has aggregator corporate body,IRI,,,,
295,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,appellant|appellant corporate body,,,,,http://rdaregistry.info/Elements/w/P10009,has appellant corporate body,IRI,,,,
296,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,apl|http://id.loc.gov/vocabulary/relators/apl|http://rdaregistry.info/Elements/w/P10009,,,,,http://rdaregistry.info/Elements/w/P10009,has appellant corporate body,IRI,,,,
297,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,appellee|appellee corporate body,,,,,http://rdaregistry.info/Elements/w/P10005,has appellee corporate body,IRI,,,,
298,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,ape|http://id.loc.gov/vocabulary/relators/ape|http://rdaregistry.info/Elements/w/P10005,,,,,http://rdaregistry.info/Elements/w/P10005,has appellee corporate body,IRI,,,,
299,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,architect|architect corporate body,,,,,http://rdaregistry.info/Elements/w/P10532,has architect corporate body,IRI,,,,
300,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,arc|http://id.loc.gov/vocabulary/relators/arc|http://rdaregistry.info/Elements/w/P10532,,,,,http://rdaregistry.info/Elements/w/P10532,has architect corporate body,IRI,,,,
301,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,artist|artist corporate body,,,,,http://rdaregistry.info/Elements/w/P10545,has artist corporate body,IRI,,,,
302,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,art,,,,,http://rdaregistry.info/Elements/w/P10545,has artist corporate body,IRI,,,,
303,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,audio producer|audio producer corporate body,,,,,http://rdaregistry.info/Elements/w/P10515,has audio producer corporate body,IRI,,,,
304,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,author|author corporate body,,,,,http://rdaregistry.info/Elements/w/P10530,has author corporate body,IRI,,,,
305,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,aut,,,,,http://rdaregistry.info/Elements/w/P10530,has author corporate body,IRI,,,,
306,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,book artist|book artist corporate body,,,,,http://rdaregistry.info/Elements/w/P10522,has book artist corporate body,IRI,,,,
307,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,calligrapher|calligrapher corporate body,,,,,http://rdaregistry.info/Elements/w/P10520,has calligrapher corporate body,IRI,,,,
308,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,cll|http://id.loc.gov/vocabulary/relators/cll|http://rdaregistry.info/Elements/w/P10520,,,,,http://rdaregistry.info/Elements/w/P10520,has calligrapher corporate body,IRI,,,,
309,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,cartographer|cartographer corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10529,has cartographer corporate body of work,IRI,,,,
310,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,ctg|http://id.loc.gov/vocabulary/relators/ctg|http://rdaregistry.info/Elements/w/P10529,,,,,http://rdaregistry.info/Elements/w/P10529,has cartographer corporate body of work,IRI,,,,
311,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,casting director|casting director corporate body,,,,,http://rdaregistry.info/Elements/w/P10547,has casting director corporate body,IRI,,,,
312,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,choreographer|choreographer corporate body,,,,,http://rdaregistry.info/Elements/w/P10528,has choreographer corporate body,IRI,,,,
313,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,chr|http://id.loc.gov/vocabulary/relators/chr|http://rdaregistry.info/Elements/w/P10528,,,,,http://rdaregistry.info/Elements/w/P10528,has choreographer corporate body,IRI,,,,
314,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,civil defendant|civil defendant corporate body,,,,,http://rdaregistry.info/Elements/w/P10395,has civil defendant corporate body,IRI,,,,
315,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,collection registrar|collection registrar corporate body,,,,,http://rdaregistry.info/Elements/w/P10636,has collection registrar corporate body,IRI,,,,
316,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,cor|http://id.loc.gov/vocabulary/relators/cor|http://rdaregistry.info/Elements/w/P10636,,,,,http://rdaregistry.info/Elements/w/P10636,has collection registrar corporate body,IRI,,,,
