,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$a AND not($b),,,,http://rdaregistry.info/Elements/m/P30104,has video format,IRI,,[Manifestation]-->rdam:P30104-->[value of $1] -- ZP 3/27/2022,,
1,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$b AND not($a),,,,http://rdaregistry.info/Elements/m/P30123,has broadcast standard,IRI,,[Manifestation]-->rdam:P30123-->[value of $1] -- ZP 3/27/2022,,
2,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$a AND not($b),0,starts with 'http',not($1),http://rdaregistry.info/Elements/m/P30104,has video format,IRI,,[Manifestation]-->rdam:P30104-->[value of $0],,refer to Transform structure for $0/$1
3,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$a AND not($b),0,does not start with 'http',not($1),http://rdaregistry.info/Elements/m/P30104,has video format, ,,do not map a $0 that does not begin with 'http',,refer to Transform structure for $0/$1
4,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$b AND not($a),0,starts with 'http',not($1),http://rdaregistry.info/Elements/m/P30123,has broadcast standard,IRI,,[Manifestation]-->rdam:P30123-->[value of $0],,
5,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$b AND not($a),0,does not start with 'http',not($1),http://rdaregistry.info/Elements/m/P30123,has broadcast standard, ,,do not map a $0 that does not begin with 'http',,
6,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"a, 2",Video format (R),,,2,not rdavf,,not((when only $a or only $b) AND ($1 or $0 starting with 'http')),http://rdaregistry.info/Elements/m/P30104,has video format,IRI,,"[Manifestation] rdam:P30104 skos:Concept(mintedIRI)
skos:Concept skos:prefLabel <$a>
skos:Concept skos:inScheme <$2>
PS 7/15/2024",,
7,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"a, 2",Video format (R),,,2,rdavf,,not((when only $a or only $b) AND ($1 or $0 starting with 'http')),http://rdaregistry.info/Elements/m/P30104,has video format,IRI,,[Manifestation]-->rdam:P30104-->[look up uri at https://www.rdaregistry.info/termList/videoFormat/index.html ] -- ZP 3/27/2022,,
8,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"b, 2",Broadcast standard (R),,,2,not rdabs,,not((when only $a or only $b) AND ($1 or $0 starting with 'http')),http://rdaregistry.info/Elements/m/P30123,has broadcast standard,IRI,,"[Manifestation] rdam:P30123 skos:Concept(mintedIRI)
skos:Concept skos:prefLabel <$b>
skos:Concept skos:inScheme <$2>
PS 7/15/2024",,
9,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"b, 2",Broadcast standard (R),,,2,rdabs,,not((when only $a or only $b) AND ($1 or $0 starting with 'http')),http://rdaregistry.info/Elements/m/P30123,has broadcast standard,IRI,,[Manifestation]-->rdam:P30123-->[look up uri at https://www.rdaregistry.info/termList/broadcastStand/  ] -- ZP 3/27/2022,,
10,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a,Video format (R),,,not($2),,,not((when only $a or only $b) AND ($1 or $0 starting with 'http')),http://rdaregistry.info/Elements/m/P30104,has video format,unstructured description ,,[Manifestation]-->rdamd:P30104-->[value of $a] -- ZP 3/27/2022,,
11,done,346,VIDEO CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,b,Broadcast standard (R),,,not($2),,,not((when only $a or only $b) AND ($1 or $0 starting with 'http')),http://rdaregistry.info/Elements/m/P30123,has broadcast standard,unstructured description ,,[Manifestation]-->rdamd:P30123-->[value of $b] -- ZP 3/27/2022,,
12,done,346,VIDEO CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,$a,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured description,,"[Manifestation]-->rdam:P30137-->""Video format {value of $a/IRI for $a} applies to the manifestation's "" + {value of $3} + ""."" -- CP 2024-07-16",,
13,done,346,VIDEO CHARACTERISTICS (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,$b,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured description,,"[Manifestation]-->rdam:P30137-->""Broadcast standard {value of $b/IRI for $b} applies to the manifestation's "" + {value of $3} + ""."" -- CP 2024-07-16",,
