,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,first pass,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,*,,Note/added entry controller,*,,,,a,Publisher or distributor number (NR),,,,,,,http://rdaregistry.info/Elements/m/P30004,has identifier for manifestation,Identifier,,,,
1,first pass,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,2,Plate number,Note/added entry controller,*,,,,a,Publisher or distributor number (NR),,,,,,,http://rdaregistry.info/Elements/m/P30066,has plate number for notated music,Identifier,,,,
2,first pass,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,3,Other music publisher number,Note/added entry controller,*,,,,a,Publisher or distributor number (NR),,,,,,,http://rdaregistry.info/Elements/m/P30065,has publisher number for notated music,Identifier,,,,
3,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,0,Issue number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,For printed music and music-related materials
4,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,0,Issue number,Note/added entry controller,1,"Note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,For printed music and music-related materials
5,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,0,Issue number,Note/added entry controller,2,"Note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,For printed music and music-related materials
6,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,0,Issue number,Note/added entry controller,3,"No note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,For printed music and music-related materials
7,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,1,Matrix number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
8,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,1,Matrix number,Note/added entry controller,1,"Note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
9,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,1,Matrix number,Note/added entry controller,2,"Note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
10,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,1,Matrix number,Note/added entry controller,3,"No note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
11,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,2,Plate number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
12,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,2,Plate number,Note/added entry controller,1,"Note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
13,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,2,Plate number,Note/added entry controller,2,"Note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
14,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,2,Plate number,Note/added entry controller,3,"No note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
15,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,3,Other music publisher number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
16,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,3,Other music publisher number,Note/added entry controller,1,"Note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
17,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,3,Other music publisher number,Note/added entry controller,2,"Note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
18,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,3,Other music publisher number,Note/added entry controller,3,"No note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
19,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,4,Video recording publisher number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
20,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,4,Video recording publisher number,Note/added entry controller,1,"Note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
21,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,4,Video recording publisher number,Note/added entry controller,2,"Note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
22,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,4,Video recording publisher number,Note/added entry controller,3,"No note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
23,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,5,Other publisher number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
24,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,5,Other publisher number,Note/added entry controller,1,"Note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
25,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,5,Other publisher number,Note/added entry controller,2,"Note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
26,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,5,Other publisher number,Note/added entry controller,3,"No note, added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
27,?,28,PUBLISHER NUMBER OR DISTRIBUTOR NUMBER (R),Type of number,6,Distributor number,Note/added entry controller,0,"No note, no added entry",,,b,Source (NR),,,,,,,http://rdaregistry.info/Elements/n/P80073,is assigned by agent,unstructured,,,,
