,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,first pass,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,#,File size,Undefined,#,Undefined,,,"a, b, c, d, e",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,"Individual fields, and note on case file, not available in RDA. Note on manifestation is highest level of specificity found in Toolkit. cey 2023-01-25","Retain ISBD punctuation when available. Append boilerplate to beginning of note: ""File size: """,,
1,first pass,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,#,File size,Undefined,#,Undefined,,,"a,b,c,d,e",,,,3,,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Retain ISBD punctuation when available. Append boilerplate to beginning of note: ""[Value of $3]: File size: """,,
2,first pass,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,0,Case file characteristics,Undefined,#,Undefined,,,"a, b, c, d, e",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Retain ISBD punctuation when available. Append boilerplate to beginning of note: ""Case file characteristics: """,,
3,first pass,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,0,Case file characteristics,Undefined,#,Undefined,,,"a,b,c,d,e",,,,3,,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Retain ISBD punctuation when available. Append boilerplate to beginning of note: ""[Value of $3]: Case file characteristics: """,,
4,first pass,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,"a,b,c,d,e",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,Retain ISBD punctuation when available.,,
5,first pass,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,"a,b,c,d,e",,,,3,,,,http://rdaregistry.info/Elements/m/P30137,note on manifestation,unstructured,,"Retain ISBD punctuation when available. Append boilerplate to beginning of note: ""[Value of $3]: """,,
6,?,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,#,File size,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
7,?,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,#,File size,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
8,not mapped,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,#,File size,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,included as condition,,,
9,delete,565,CASE FILE CHARACTERISTICS NOTE (R),Display constant controller,#,File size,Undefined,#,Undefined,,,a,Number of cases/variables (NR),,,,,,,,,,combined with other subfields to form value of broader element,,,
