,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,74,GPO ITEM NUMBER (R),Undefined,*,,Undefined,*,,,,a,GPO item number (NR),,,,,,,http://rdaregistry.info/Elements/i/P40001,has identifier for item,IRI,,"[Item]-->rdai:P40001-->[Nomen]-->rdand:P80068-->[$a value] . [Nomen]-->rdand:P80078-->""GPO item number"" ",,
1,done,74,GPO ITEM NUMBER (R),Undefined,*,,Undefined,*,,,,z,Canceled/invalid GPO item number (R),,,,,,,http://rdaregistry.info/Elements/i/P40001,has identifier for item,IRI,,"[Item]-->rdai:P40001-->[Nomen]-->rdand:P80068-->[$a value]. [Nomen]-->rdand:P80078-->""GPO item number"" [Nomen]-->rdan:P80168--><http://id.loc.gov/vocabulary/mstatus/cancinv>",,
2,not mapped,74,GPO ITEM NUMBER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
