,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,#|1,"
No information provided|Not private
",Undefined,*,,,,"a, b, c, d, e, f, h, n, o","Source of acquisition (NR), Address (NR), Method of acquisition (NR),Date of acquisition (NR), Accession number (NR), Owner (NR), Purchase price (NR), Extent (R), Type of unit (R)",,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""(item - minted) has manifestation exemplified (manifestation the MARC is describing)
ex:manifestationIRI rdamo:p30103  ex:itemIRI
ex:itemIRI rdaid:p40050
""Source of acquisition: "" + [$a value]. ""Address: "" + [$b value]. ""Method of acquisition: "" + [$c value]. ""Date of acquisition: "" + [$d value]. ""Accession number: "" + [$e value]. ""Owner: "" + [$f value]. ""Purchase price: "" + [$h value]. ""Extent: "" + [$n value]. ""Type of unit: "" + [$o value].",,"Include all subfields that appear. Remove prefixes if subfield does not appear. --Group review, 2024-01-31"
1,reviewed,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,0,Private,Undefined,*,,,,"a, b, c, d, e, f, h, n, o","Source of acquisition (NR), Address (NR), Method of acquisition (NR),Date of acquisition (NR), Accession number (NR), Owner (NR), Purchase price (NR), Extent (R), Type of unit (R)",,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""(item - minted) has manifestation exemplified (manifestation the MARC is describing)
(item) is item described with metadata by (work)
(work) has type rdf statement, 
subject (item) 
predicate (has source of acquisition) 
object ""Source of acquisition: "" + [$a value]. ""Address: "" + [$b value]. ""Method of acquisition: "" + [$c value]. ""Date of acquisition: "" + [$d value]. ""Accession number: "" + [$e value]. ""Owner: "" + [$f value]. ""Purchase price: "" + [$h value]. ""Extent: "" + [$n value]. ""Type of unit: "" + [$o value].""
(work) category of work ""private""",,"Include all subfields that appear. Remove prefixes if subfield does not appear. --Group review, 2024-01-31"
2,reviewed,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,No information provided,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,clarifies what material part of the item the custodial history applies to,"Add after the end of the text string from subfield a, according to this pattern:  (applies to:  [contents of $3] )",,"Note that this would apply to reified statement if first indicator of field is 0.
cey & ps 2023-12-07"
3,reviewed,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,No information provided,Undefined,#,Undefined,,,5,Institution to which field applies (NR),,,,,,,,,,See Decision,"Pattern of $5 decision applied to associated item minted for application of descriptive elements ($a, etc.) based on indicator 1.
https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iij-5",,"Follow the pattern of Decision:  https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iij-5 
cey & ps 2023-12-07"
4,reviewed,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,No information provided,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,See Decision,Follow pattern in $6 Decision https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iih-6,,
5,not mapped,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,No information provided,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Not mapped unless a case is presented,,,Decision not to map $8 https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-8
6,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,b,Address (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Address: "" + [$b value]",,
7,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,c,Method of acquisition (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Method of acquisition: "" + [$c value]",,
8,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,d,Date of acquisition (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Date of acquisition: "" + [$d value]",,
9,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,e,Accession number (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Accession number: "" + [$e value]",,
10,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,e,Accession number (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,structured description,,,,
11,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,f,Owner (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Owner: "" + [$f value]",,
12,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,h,Purchase price (NR),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Purchase price: "" + [$h value]",,
13,delete,541,IMMEDIATE SOURCE OF ACQUISITION NOTE (R),Privacy,*,,Undefined,*,,,,n,Extent (R),,,,,,,http://rdaregistry.info/Elements/i/P40050,has immediate source of acquisition of item,unstructured description,,"""Extent: "" + [$n value]",,
