,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,a,Label (NR),,,,,,,,,,,process the same as for headings fields EK 2025-03-02,,
1,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,i,Relationship information (R),,,,,,,,,,,"if $4 is missing, transform $i as for other 7xx fields  EK 2025-03-02",,
2,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,0,Authority record control number or standard number (R),,,,,,,,,,,process the same as for headings fields EK 2025-03-02,,
3,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,1,Real World Object URI (R),,,,,,,,,,,process the same as for headings fields EK 2025-03-02,,
4,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,2,Source of heading or term (NR),,,,,,,,,,,process the same as for headings fields EK 2025-03-02,,
5,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,if present do not transform field  EK 2025-03-02,,
6,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,4,Relationship (R),,,4.0,starts with 'http://rdaregistry.info/Elements/w/' | 'http://www.rdaregistry.info/Elements/e/' | 'http://www.rdaregistry.info/Elements/m/' | 'http://www.rdaregistry.info/Elements/i/',1.0,,,,,"$4 provides a code or URI indicating the relationship of the record entity to the entity described in field 758 - if this URI is an rda registry uri for a work, expression, manifestation, or item property, the mapping can be taken from this value - CP 2024-01-18","use IRI for w/e/m/i based on $4 rda registry IRI.
[IRI] [RDA property in $4] [value of $1]",If $4 (string) does not contain 'rdaregistry.info' or contains 'rdaregistry.info/Elements/u' then output a note on manifestation with the contents of the field as a structured string. EK 2025-03-18,"If $4 (string) contains 'rdaregistry.info' and does not contain 'rdaregistry.info/Elements/u' then:
mint an entity for the domain of the property or re-use the appropriate work or expression minted by 1xx/245; 
select the entity or value for the range of the property. Process $a, $0, $1, and $3 the same as for heading fields;
output the statement (domain entity) objectified($4) (minted range entity) or (domain entity) datatyped($4) 'range string' as appropriate. (The datatyped and objectified functions generate the datatype and object versions of the RDA elements.); 
Ignore $i   EK 2025-03-18 (from Gordon's analysis)"
7,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,5,Institution to which field applies (NR),,,,,,,,,,,if present do not transform field  EK 2025-03-02,,
8,reviewed,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,See decision: https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
9,not mapped,758,RESOURCE IDENTIFIER (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,See decision: https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number,,,
