,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,not mapped,300,PHYSICAL DESCRIPTION (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,,,
1,not mapped,300,PHYSICAL DESCRIPTION (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,,,
2,done,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,"3, a, b, c, e, f, g",Extent (R),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30182,has extent of manifestation,structured,,"Retain punctuations and keep the orders as they are.--JL 2024/20/30; If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27",,
3,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,a,Extent (R),,,,,,,,,http://rdaregistry.info/Elements/e/P20219,has duration,,,,"Don't think it should map extent to duration--JL, 02/13/24","See  also TAG 306 and TAG 007/00 = m, s, or "
4,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,a,Extent (R),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30182,has extent of manifestation,structured,,"If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27",,
5,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,a,Extent (R),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30183,has file size,,,"If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27","Don't think should map to file size--JL, 02/13/24","See also TAG 256$a , 347$c and TAG 007/00= c"
6,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,a,Extent (R),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30199,has font size,,,"If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27","Don't think should map to font size--JL, 02/13/24","See also TAG 340$n and TAG 007/00= f, t"
7,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,a,Extent (R),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30306,has font point size,,,"If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27","Don't think should map to font point size--JL, 02/13/24","See also TAG 340$n and TAG 007/00= f, t"
8,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,b,Other physical details (NR),,,Leader/06; 006/00,g,008/33; 006/16,f|s|t|i|k|n,,,http://rdaregistry.info/Elements/e/P20573,has colour,structured,,,,See also TAG 340$a and TAG 007/00= a
9,delete,300,PHYSICAL DESCRIPTION (R),Undefined,*,,Undefined,*,,,,b,Other physical details (NR),,,Check for Reproduction Condition 2 only,,,,,,http://rdaregistry.info/Elements/m/P30096,has encoding format,,,"If a Reproduction condition is present, apply mapping/transformation to OriginalM, not ReproM. -- LA, DC 2024/09/27","it's more appropriate to map ""has encoding format"" to MARC field 347-Digital File Characteristics, $b-Encoding format",See also 007/00 = c 
