,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,MARCTagCondition7,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
10,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 from id.loc.gov,5,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for corporate body",,
11,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 not from id.loc.gov,5,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <$1|$0>
<$1|$0> rdaad:P50375 ""value of a, b, c, d, g, n, u"". // has access point for corporate body",,
12,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and approved source in $2,,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for  corporate body",,
13,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and unapproved source in $2,,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068 ""value of a, b, c, d, g, n, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
14,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,No source in $2 with approved $1,,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for corporate body",,
15,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,No source in $2 with unapproved $1,,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50375  ""value of a, b, c, d, g, n, u"". . // has access point for corporate body",,
16,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 from id.loc.gov,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for corporate body",,
17,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 not from id.loc.gov,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <$1|$0>
<$1|$0> rdaad:P50375 ""value of a, b, c, d, g, n, u"". // has access point for corporate body",,
18,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,"a, b, c, d, g, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,Identified and approved source in $2,no $1 or $0 that can be converted into a rwo uri,,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for  corporate body
<NomenIRI>  rdand:P80068 ""value of a, b, c, d, g, n, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <IRI for $2> . // has scheme of nomen",,
19,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,"a, b, c, d, g, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,Identified and unapproved source in $2,no $1 or $0 that can be converted into a rwo uri,,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50375  ""value of a, b, c, d, g, n, u"". . // has access point for corporate body
",,
20,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,"a, b, c, d, g, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, b, c, d, g, n, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
21,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,"a, b, c, d, g, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,no $1 or $0 that can be converted into a rwo uri,,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50375 ""value of a, b, c, d, g, n, u"". // has access point for  corporate body",,
