,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,521,TARGET AUDIENCE NOTE (R),Display constant controller,*,,,,,,,"a, b, 3","Target audience note (R), Source (NR), Materials specified (NR) ",,,,,,,https://www.rdaregistry.info/Elements/m/datatype/#P30137,has note on manifestation,Unstructured description,,"[Manifestation] rdamd:P30137 [""indicator 1 label: "" + {$a} + ""according to: "" + {$b} + (""applies to "" + {$3}).
If the first indicator is 8, lable is the same as # - Audience",,"https://github.com/uwlib-cams/MARC2RDA/issues/198

I do not think it is appropriate to use ""has intended audience of manifestation"" (unstructured description) because the semantics imply intention (by the publisher or producer), and the example data indicate that the values are cataloguer judgement about the audience, not the intention.--Gordon
My understanding is that entering MARC 521 info into Expression descriptions sets is not feasible.--Theo"
1,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,#,Audience,Undefined,#,,,,a,Target audience note (R),,,,,,,http://www.rdaregistry.info/Elements/m/#P30305,has intended audience of manifestation,Unstructured description,"Since it is ambiguous whether the property applies to Expression or Manifestation, use the Manifestation property . ; lna 2022-05-17",,,"Issue https://github.com/uwlib-cams/MARC2RDA/issues/198 
lna 6/15/2022"
2,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,,,,a,Target audience note (R),,,,,,,http://www.rdaregistry.info/Elements/m/#P30305,has intended audience of manifestation,Unstructured description,"Since it is ambiguous whether the property applies to Expression or Manifestation, use the Manifestation property . ; lna 2022-05-17",,,
3,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,0,Reading grade level,Undefined,#,,,,a,Target audience note (R),,,,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,Unstructured description,"Assume target audience will not vary between expression and manifestation for Reading Grade Level (ind 1) , so select expression property.",Prepend string  Reading grade level:  before contents of $a,"Don't see an RDA element or relation that expresses the specificity of the display constant, but add as a prefix needed to make sense of contents of $a","Loss of separation of display constant terminology from value of subfield $a - which mIght be controlled from a particular source but is uncontrolled in MARC.  In a specialized setting these values could support special search limiting.
lna 6/15/2022"
4,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,1,Interest age level,Undefined,#,,,,a,Target audience note (R),,,,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,Unstructured description,"Assume target audience will not vary between expression and manifestation for Interest Age Level, so selecte expression property.",Prepend string  Interest age level:   before contents of $a,"Don't see an RDA element or relation that expresses the specificity of the display constant, but add as a prefix needed to make sense of contents of $a","Loss of separation of display constant terminology from value of subfield $a - which mIght be controlled from a particular source but is uncontrolled in MARC.  In a specialized setting these values could support special search limiting.
lna 6/15/2022"
5,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,2,Interest grade level,Undefined,#,,,,a,Target audience note (R),,,,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,Unstructured description,"Assume target audience will not vary between expression and manifestation for Interest Grade Level, so selected expression property.",Prepend string   Interest grade level:  before contents of $a,"Don't see an RDA element or relation that expresses the specificity of the display constant, but add as a prefix needed to make sense of contents of $a","Loss of separation of display constant terminology from value of subfield $a - which mIght be controlled from a particular source but is uncontrolled in MARC.  In a specialized setting these values could support special search limiting.
lna 6/15/2022"
6,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,3,Special audience characteristics,Undefined,#,,,,a,Target audience note (R),,,,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,Unstructured description,"Assume target audience will not vary between expression and manifestation since content is same, so selected expression property.",Prepend string Special audience characteristics:  before contents of $a,"Don't see an RDA element or relation that expresses the specificity of the display constant, but add as a prefix needed to make sense of contents of $a","Loss of separation of display constant terminology from value of subfield $a - which mIght be controlled from a particular source but is uncontrolled in MARC.  In a specialized setting these values could support special search limiting.
lna 6/15/2022"
7,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,4,Motivation/interest level,Undefined,#,,,,a,Target audience note (R),,,,,,,http://rdaregistry.info/Elements/e/P20322,has intended audience of expression,Unstructured description,"Assume target audience will not vary between expression and manifestation since content is same, so selected expression property.",Prepend string Motivation/interest level:  before contents of $a,"Don't see an RDA element or relation that expresses the specificity of the display constant, but add as a prefix needed to make sense of contents of $a",Loss of separation of display constant terminology from value of subfield $a - which mIght be controlled from a particular source but is uncontrolled in MARC.  In a specialized setting these values could support special search limiting.  lna 6/15/2022
8,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,*,,Undefined,*,,,,a,Target audience note (R),,,,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,Unstructured description,,,,"This line with asterisk indicating ""any"" for Ind 1 value is  not relevant; all valid conditions are now covered by a separate line and the mappings differ. It might be needed to map data that does not contain a ""blank"" (#) in the indicator 1 byte; that would not be valid but if it occurs, the default  would  need to be to use ind1=8 mapping - ""no indicator constant given""
lna 10/19/2022"
9,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,*,*,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,none,,Unstructured description,"There doesn't seem to be a way to reference parts of the description to be able to establish an RDA relationship in the MARC mapping, but we could append the materials specified as a parenthetical phrase to the end of the $a note string.","Append the string value of subfield 3 , preceded by the label:  Applies to:    .  In  parentheses, coming after the value of $a  and separated by a space.   Example:  Special audience characteristics:  Tactile learners (Applies to: Puzzles)",See discussion in Github issue #198,"""Loss"" of potential separate reference to a part of an expression (or mainfestation) as an aggregated entity.  But since values are not controlled for this field, probably not possible to do anything else in MARC conversion. ; lna 2022-05-17"
10,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,*,*,Undefined,#,Undefined,,,b,Source (NR),,,,,,,,,Unstructured description,"Provisionally, using unstructured description, use transformation to append contents of this subfield after $a (and after $3, if it is appended) ; lna 2022-05-17",Append the string value of subfield b in parentheses and preceded by 'Assigned by: ' after the value of $a (and $3 if present),,"We lose the separation between source and the field value. Note subfield values for source are not controlled.
Reification in the mapping discussion is relevant:  https://github.com/uwlib-cams/MARC2RDA/discussions/351;  
as well as source of statements discussion: https://github.com/uwlib-cams/MARC2RDA/discussions/379   lna 6/15/2022"
11,not mapped,521,TARGET AUDIENCE NOTE (R),Display constant controller,*,*,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,See Decision $6,See Decision $6,Unstructured description,"Contents of this field not mapped, but used to establish relationship between this field and 880; see Decision for $6",,,"Decision $6  https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iih-6 
lna 10/19/2022"
12,not mapped,521,TARGET AUDIENCE NOTE (R),Display constant controller,*,*,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,"Decision $8 
https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-8
lna 10/19/2022"
13,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,0,Reading grade level,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
14,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,0,Reading grade level,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
15,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,0,Reading grade level,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
16,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,0,Reading grade level,Undefined,#,Undefined,,,b,Source (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
17,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,1,Interest age level,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
18,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,1,Interest age level,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
19,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,1,Interest age level,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
20,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,1,Interest age level,Undefined,#,Undefined,,,b,Source (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
21,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,2,Interest grade level,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
22,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,2,Interest grade level,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
23,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,2,Interest grade level,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
24,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,2,Interest grade level,Undefined,#,Undefined,,,b,Source (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
25,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,3,Special audience characteristics,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
26,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,3,Special audience characteristics,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
27,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,3,Special audience characteristics,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
28,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,3,Special audience characteristics,Undefined,#,Undefined,,,b,Source (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
29,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,4,Motivation interest level,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
30,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,4,Motivation interest level,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
31,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,4,Motivation interest level,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
32,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,4,Motivation interest level,Undefined,#,Undefined,,,b,Source (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
33,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
34,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
35,delete,521,TARGET AUDIENCE NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,Delete - granular mapping not needed ; lna 2022-05-17,,,redundant - No need to differentiate these fields' handling based on indicator value ; lna 2022-10-28
