,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CategoryOfMaterial,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Unnamed: 29,Unnamed: 30
0,First Pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,*,*,,,*,*,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""","Form of item (008/23 except for formats Cartographic Materials or Vistual Materials, which uise 008/29)",o,,,"For Monographs (not Continuing Resources)
Mint an IRI for the original manifestation (originalM) to which parts of the 008 and other fields are related.  
Relate it to the same expression of the same work as the manifestation for the reproduction described by the record (reproM) is related, with this property:  http://rdaregistry.info/Elements/m/P30136 ""Has expression manifested"".
Relate originalM to reproM with property http://rdaregistry.info/Elements/m/P30043 """"is electronic reproduction of manifestation of""", is electronic reproduction of manifestation of ,IRI,"By definition, use of 533 indicates a MARC record is describing a reproduction - with exception of some early records that recorded presence of a related electronic record in the print record reproduced, using this tag.  The 533 contains descriptive elements of the reproduction, but parts of the main description such as date of creation or publication describe the original reproduced, including elements of the 008.  Use the ""electronic reproduction"" property when record has Form fixed field ""electronic"" -LA 3/3/2024","Use the same ""originalM"" URI for all of the conditional mappings for 008 and other tags. - la 3/3/2024",,"These conditions do not include all ""Provider neutral"" records that are electronic reproductions.  533 is not included for PN unless it is for ""digital master"" digitization projects like Hathi Trust.  5xx fields are permitted if the reproduction is of an institution specific copy, e.g. a rare book, only with addition of $5 institution symbol.  But ""Provider neutral"" online records that are reproductions also are specified to have original descriptive elements in most 008 bytes except for the Form of Item byte which is ""o"" (online) and in 250, 264   

Mapping for PN records (distinguishable by 040 subfield $e ""pn"") which do not contain a 533 tag needs further analysis and may not be part of this mapping..  See https://www.loc.gov/aba/pcc/scs/documents/PN-RDA-Combined.pdf . and also OCLC's  https://www.oclc.org/bibformats/en/specialcataloging.html#providerneutralcataloging .  Instructions say to describe the original in parts of 008, 250, 264 in There does not appear to be a definitive data element indicating that a PN record is for a reproduction -- provider-neutral designation may be given to an electronic resource that does not reproduce another resource.  However, see instructions for 588 note and 776 for examples of what may be consistent language.  ",,"See 533 Issue https://github.com/uwlib-cams/MARC2RDA/issues/207 and Reproductions discussion https://github.com/uwlib-cams/MARC2RDA/discussions/385 

Logic based on LC pCC PS 1.11: Facsimiles and Reproductions October 23, 2014 https://www.loc.gov/aba/pcc/documents/1-11-LC-PCC-PS.docx "
1,First Pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,*,*,,,*,*,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""","Form of item (008/23 except for formats Cartographic Materials or Vistual Materis, which uise 008/29)","not ""o""",,,"Mint an IRI for the original manifestation (originalM) to which parts of the 008 and other fields are related.  
Relate it to the same expression of the same work as the manifestation for the reproduction described by the record (reproM) is related, with this property:  http://rdaregistry.info/Elements/m/P30136 ""Has expression manifested"".
Relate originalM to reproM with property http://rdaregistry.info/Elements/m/P30043 """"is reproduction of manifestation of""", is reproduction of manifestation of ,IRI,"By definition, use of 533 indicates a MARC record is describing a reproduction - with exception of some early records that recorded presence of a related electronic record in the print record reproduced, using this tag.  The 533 contains descriptive elements of the reproduction, but parts of the main description such as date of creation or publication describe the original reproduced, including elements of the 008.  Use ""is reproduction..."" property when Form fixed field is not ""electronic"" -LA 3/3/2024",,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,To be added to 008 parallel mappings,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,00-17,,,,,,533,"Not present, or if any are present, each contains in $a the phrase ""also available as"".  ",,,,,,,,,,,,,
4,First pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,06,Type of date/Publication status,,,c,Continuing resource currently published,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM defined above, value=  ""Continuing resource currently published.""",,,,
5,First pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,06,Type of date/Publication status,,,d,Continuing resource ceased publication,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above. 
value=  """"Continuing resource ceased publication.""""",,,,
6,First pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,c,008/07-10,*,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date]/.. | u=blank",,,,
7,First pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,c,008/07-10,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Date of publication unknown.""",,,,
8,First pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
/[date2] | u=blank",,,,
9,First pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,*,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date1]/ | u=blank",,,,
10,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Ceased publication. Publication start and end dates unknown.""",,,,
11,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,e,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
date1 + date2 normalized yyyy-mm-dd | u=blank",,,,
12,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
/[date] | u=blank",,,,
13,first pass,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date]/ | u=blank",,,,
14,first pass,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Dates of collection unknown.""",,,,
15,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
/[date] | u=blank",,,,
16,first pass,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date]/ | u=blank",,,,
17,first pass,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Dates of publication unknown.""",,,,
18,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,p,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defomed abpve
[date]/.. | u=blank",,,,
19,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,,07-10,Date 1,,,,,008 06,p,008/07-10,,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Date of manifestation unknown.""",,,,
20,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,q,008/07-10,*,,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
[date1..date2] | u=blank | partial blank = fill in blanks as X",,,,
21,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,s,008/07-10,*,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,Apply this property to OriginalM URI defined above,,,,
22,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,,07-10,Date 1,,,,,008 06,s,008/07-10,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value = ""Date of publication unknown.""",,,,
23,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,t,008/07-10,*,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,Apply this property to OriginalM URI defined above,,,,
24,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,,07-10,Date 1,,,,,008 06,t,008/07-10,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
""value = ""Date of publication unknown.""",,,,
25,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,008/07-10,*,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"Apply this property to OriginalM URI defined above
date1/..",,,,
26,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,008/07-10,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
value= ""Continuing resource. Start and end dates unknown.""",,,,
27,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,t,,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,"Apply this property to OriginalM URI defined above
value = ""Has copyright notice date, phonogram copyright notice date, or deposit date"" + date",,,,
28,?  delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,u,Date element is totally or partially unknown,,,,,,,,,,"Included in conditions for Date 1, Date 2",,,Question to Crystal,,
29,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,533.0,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",http://rdaregistry.info/Elements/m/P30279,has place of manifestation,IRI,,"Apply this property to OriginalM URI defined above
Append code to http://id.loc.gov/vocabulary/countries/ for IRI value",,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,i,International intergovernmental,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above.,,,,
33,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,l,Local,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above.,,,,
34,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,m,Multistate,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above.,,,,
35,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,n,Government publication--level undetermined [OBSOLETE],533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above.,,,,
36,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,o,Government publication--level undetermined,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above.,,,,
37,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,s,"State, provincial, territorial, dependent, etc.",533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above.,,,,
38,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,u,Unknown if item is government publication,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above.
http://marc21rdf.info/terms/commongov%23u ",,,,
39,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,BOOKS,28,Government publication,,,z,Other,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above.
http://marc21rdf.info/terms/commongov%23z ",,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,a,Autonomous or semi-autonomous component,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above.
http://marc21rdf.info/terms/commongov#a ",,see also 006/11,,
42,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,c,Multilocal,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above.
http://marc21rdf.info/terms/commongov#c ",,see also 006/11,,
43,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,f,Federal/national,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above
http://marc21rdf.info/terms/commongov#f",,see also 006/11,,
44,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,i,International intergovernmental,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above.
http://marc21rdf.info/terms/commongov#i",,see also 006/11,,
45,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,l,Local,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above
http://marc21rdf.info/terms/commongov#l",,see also 006/11,,
46,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,m,Multistate,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above
http://marc21rdf.info/terms/commongov#m",,see also 006/11,,
47,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,o,Government publication--level undetermined,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above
http://marc21rdf.info/terms/commongov#o",,see also 006/11,,
48,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,s,"State, provincial, territorial, dependent, etc.",533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above
http://marc21rdf.info/terms/commongov#s",,see also 006/11,,
49,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,u,Unknown if item is government publication,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"Apply this property to OriginalM URI defined above
http://marc21rdf.info/terms/commongov%23u",,,,
50,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,COMPUTER FILES,28,Government publication,,,z,Other,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,Apply this property to OriginalM URI defined above,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,19,Regularity,,,n,Normalized irregular,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above.
""Regularity: [value].""",,see also 008/18 and  006/02,,
53,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,19,Regularity,,,r,Regular,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above.
""Regularity: [value].""",,see also 008/18 and  006/02,,
54,first pass,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,19,Regularity,,,x,Completely irregular,533,"At least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"Apply this property to OriginalM URI defined above
""Regularity: [value].""",,see also 008/18 and  006/02,,
55,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,a,Microfilm,008/byte 6,r, , ,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,,,
56,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,b,Microfiche,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,,,
57,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,c,Microopaque,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,,,
58,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,d,Large print,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,,,
59,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,e,Newspaper format,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,,,
60,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,f,Braille,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,,,
61,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,h,Magnetic tape [OBSOLETE],,,,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,,http://metadataregistry.org/concept/show/id/3807.html,,,,
62,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,o,Online,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,compare with 006/05,,
63,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,q,Direct electronic,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,compare with 006/06,,
64,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,22,Form of original item,,,s,Electronic,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"""Originally issued as [expanded value]""",,compare with 006/07,,
65,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,23,Form of item,,,d,Large print,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30199,font size,IRI,"PCC Instructions with use of 533 indicate that Form of Item should be specified for the type of reproduction (microform, online), not the original.  Encountering this value in a record with a 533 is probaly an error.  We can either throw out this mapping, marking the record as having an error, or assume that the font size applies to the original of the reproduction and map it accordingly (as indicated in the transformation notes)","Apply this property to OriginalM URI defined above
http://rdaregistry.info/termList/fontSize/1002",,"From RDA to MARC mapping: rdam:P30001 rdakit:hasM21 ""MARC 21 Bibliographic 008 /23 [identifier] (books, computer files, music, continuing resources, mixed materials)"" .",,
66,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,23,Form of item,,,f,Braille,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/m/P30001,has carrier type,IRI,"PCC Instructions with use of 533 indicate that Form of Item should be specified for the type of reproduction (microform, online), not the original.  Encountering this value in a record with a 533 is probaly an error.  We can either throw out this mapping, marking the record as having an error, or assume that the font size applies to the original of the reproduction and map it accordingly (as indicated in the transformation notes)",Apply this property to OriginalM URI defined above,,"From RDA to MARC mapping: rdam:P30001 rdakit:hasM21 ""MARC 21 Bibliographic 008 /23 [identifier] (books, computer files, music, continuing resources, mixed materials)"" .",,
67,question,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,CONTINUING RESOURCES,23,Form of item,,,f,Braille,533,"at least one 533 is present in the record 
whose $a does NOT contain phrase ""also available as""",,,,,http://rdaregistry.info/Elements/e/P20061,form of tactile notation,IRI,"PCC Instructions with use of 533 indicate that Form of Item should be specified for the type of reproduction (microform, online), not the original.  Encountering this value in a record with a 533 is probaly an error.  We can either throw out this mapping, marking the record as having an error, or assume that the font size applies to the original of the reproduction and map it accordingly (as indicated in the transformation notes)","Apply this property to OriginalM URI defined above
http://rdaregistry.info/termList/TacNotation/1001",,"From RDA to MARC mapping: rdam:P30001 rdakit:hasM21 ""MARC 21 Bibliographic 008 /23 [identifier] (books, computer files, music, continuing resources, mixed materials)"" .",,
