,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,380,FORM OF WORK (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,starts with 'http',,not($1),,http://rdaregistry.info/Elements/w/P10004,has category of work,identifier; IRI,,[Work]-->rdaw:P10004-->[value of $0],,coded - CP 2025-01-28
1,reviewed,380,FORM OF WORK (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/w/P10004,has category of work,IRI,,[Work]-->rdaw:P10004-->[value of $1] -- ZP 3/23/2022,,coded - CP 2025-01-28
2,reviewed,380,FORM OF WORK (R),Undefined,*,,Undefined,*,,,,a,Form of work (R),,,2,,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/w/P10004,has category of work,unstructured description; structured description,,"[Work]-->rdaw:P10004-->[concept IRI]
[conceptIRI]. skos:prefLabel [value of $a]
[conceptIRI] skos:inScheme [value from $2]",,coded - CP 2025-01-28
3,reviewed,380,FORM OF WORK (R),Undefined,*,,Undefined,*,,,,a,Form of work (R),,,no $2,,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/w/P10004,has category of work,unstructured description; structured description,,[Work]-->rdaw:P10004-->[value of $a] -- ZP 3/23/2022,,"coded - CP 2025-01-28

Updated mapping to reflect decisions made about minting skos:concepts when sources are provided in $2 - CP 2024-01-09"
4,delete,380,FORM OF WORK (R),Undefined,#,Undefined,Undefined,#,Undefined,,,2,Source of term (NR),,,,,,,,,"RDF Custom Datatype of the property statement, using URI for the source VES. code  --lna 4/5/2023",,See Decision https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iik-2-in-3xx-and-in-x3065x-with-indicator-2  --LNA 4/5/2023,,
5,reviewed,380,FORM OF WORK (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,http://rdaregistry.info/Elements/w/P10330,has note on work,unstructured description ,,"Create a note:  
""Category of work "" -->[value of $a or concept IRI] ""applies to the work's"" -->[value of $3] "".""  --CP 2024-01-09",The presence of $3 in this field indicates an aggregate -- ZP 12/26/2022,coded - CP 2025-01-28
6,reviewed,380,FORM OF WORK (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
7,not mapped,380,FORM OF WORK (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#id3-8-field-link-and-sequence-number,,,
