,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CategoryOfMaterial,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,06-08,Image bit depth,,,001-999,Exact bit depth,007 00,c,,,http://rdaregistry.info/Elements/m/P30159,has resolution,structured/IRI,has note on manifestation?,,,"See  also TAG 347$d, 500$a and 538$a"
1,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,06-08,Image bit depth,,,mmm,Multiple,007 00,c,,,http://rdaregistry.info/Elements/m/P30159,has resolution,structured/IRI,has note on manifestation?,,,"See  also TAG 347$d, 500$a and 538$a"
2,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,09,File formats,,,a,One,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,"""One file format""",,"See  also TAG 347$b, 352$q, 300$b, 500$a and 538$a"
3,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,09,File formats,,,m,Multiple,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,"""Multiple file formats""",,"See  also TAG 347$b, 352$q, 300$b, 500$a and 538$a"
4,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,10,Quality assurance target(s),,,a,Absent,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,,,should it be mapped?
5,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,10,Quality assurance target(s),,,p,Present,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,,,should it be mapped?
6,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,11,Antecedent/source,,,a,File reproduced from original,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,,,See  also TAG 500$a ?
7,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,11,Antecedent/source,,,b,File reproduced from microform,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,,,See  also TAG 500$a ?
8,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,11,Antecedent/source,,,c,File reproduced from an electronic resource,007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,,,See  also TAG 500$a ?
9,reviewed,7,PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION (R),,,,,,,ELECTRONIC RESOURCE,11,Antecedent/source,,,d,File reproduced from an intermediate (not microform),007 00,c,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,,,See  also TAG 500$a ?
