Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,g,Related parts (R),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,g,Related parts (R),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,m,Material-specific details (NR),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,m,Material-specific details (NR),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,n,Note (R),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,n,Note (R),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,s,Uniform title (NR),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,s,Uniform title (NR),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,t,Title (NR),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,t,Title (NR),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,subseries|has subseries,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
,762,SUBSERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,inspiration for|is inspiration for,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
