Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,respondent|has respondent,,,http://rdaregistry.info/Elements/w/P10001,has respondent,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,respondent|has respondent,,,http://rdaregistry.info/Elements/w/P10001,has respondent,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,appellee person|has appellee person,,,http://rdaregistry.info/Elements/w/P10035,has appellee person,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,medium|has medium,,,http://rdaregistry.info/Elements/w/P10036,has medium,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,degree supervisor|has degree supervisor,,,http://rdaregistry.info/Elements/w/P10041,has degree supervisor,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,appellant person|has appellant person,,,http://rdaregistry.info/Elements/w/P10042,has appellant person,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,plaintiff person|has plaintiff person,,,http://rdaregistry.info/Elements/w/P10043,has plaintiff person,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,judge|has judge,,,http://rdaregistry.info/Elements/w/P10044,has judge,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,praeses|has praeses,,,http://rdaregistry.info/Elements/w/P10045,has praeses,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,degree committee member|has degree committee member,,,http://rdaregistry.info/Elements/w/P10284,has degree committee member,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,defendant person|has defendant person,,,http://rdaregistry.info/Elements/w/P10286,has defendant person,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,related person of work|has related person of work,,,http://rdaregistry.info/Elements/w/P10312,has related person of work,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,criminal defendant person|has criminal defendant person,,,http://rdaregistry.info/Elements/w/P10396,has criminal defendant person,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,civil defendant person|has civil defendant person,,,http://rdaregistry.info/Elements/w/P10397,has civil defendant person,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,academic supervisor|has academic supervisor,,,http://rdaregistry.info/Elements/w/P10407,has academic supervisor,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,project supervisor|has project supervisor,,,http://rdaregistry.info/Elements/w/P10408,has project supervisor,,,,,
,700,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0,Forename,Type of added entry,*,,,,a,Personal name (NR),,,,research supervisor|has research supervisor,,,http://rdaregistry.info/Elements/w/P10409,has research supervisor,,,,,
