Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,g,Related parts (R),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,g,Related parts (R),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,m,Material-specific details (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,m,Material-specific details (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,n,Note (R),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,n,Note (R),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,r,Report number (R),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,r,Report number (R),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,r,Report number (R),,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,s,Uniform title (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,s,Uniform title (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,t,Title (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,t,Title (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,u,Standard Technical Report Number (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,u,Standard Technical Report Number (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,u,Standard Technical Report Number (NR),,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,y,CODEN designation (NR),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,y,CODEN designation (NR),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,y,CODEN designation (NR),,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,,,,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,w,Record control number (R),,,,freely translated as expression|is freely translated as expression,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,w,Record control number (R),,,,translated as|is translated as,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
,767,TRANSLATION ENTRY (R),Note controller,*,,Display constant controller,*,,,,w,Record control number (R),,,,related expression of expression|has related expression of expression,,,http://rdaregistry.info/Elements/e/P20205,has related expression of expression,,,,,
